radial:alignment:topleft-bottomleft,pref:radial:alignment:topleft-bottomleft,radial:alignment:bottomleft-left,pref:radial:alignment:bottomleft-left,radial:alignment:topleft-left,pref:radial:alignment:topleft-left,radial:distance:close-med,pref:radial:distance:close-med,radial:distance:med-far,pref:radial:distance:med-far,radial:distance:close-far,pref:radial:distance:close-far,grid:alignment:topleft-bottomleft,pref:grid:alignment:topleft-bottomleft,grid:alignment:topleft-left,pref:grid:alignment:topleft-left,grid:alignment:bottomleft-left,pref:grid:alignment:bottomleft-left,pref:grid:distance:close-med,grid:distance:med-far,pref:grid:distance:med-far,grid:distance:close-far,pref:grid:distance:close-far,grid:distance:close-med
2,31,2,73,2,69,2,38,1,12,2,28,1,19,1,26,2,54,35,1,35,2,5,2
1,61,1,58,1,52,1,69,2,41,2,52,1,45,1,4,1,43,61,1,71,2,45,2
1,38,2,63,2,73,2,72,2,60,2,81,1,69,2,57,2,67,75,2,77,2,72,2
1,11,1,7,1,13,2,66,1,60,2,58,1,38,1,40,1,28,44,1,68,2,43,2
1,56,2,68,2,66,1,46,2,2,1,81,1,34,2,56,2,52,50,1,8,1,31,1
1,52,2,34,2,34,1,37,2,2,1,29,1,39,1,30,2,41,39,1,49,1,42,1
1,58,2,54,2,47,1,11,1,56,1,35,1,70,2,50,2,64,68,1,88,1,54,2
1,11,2,21,2,14,1,1,1,1,1,2,1,56,2,33,2,33,32,1,25,1,34,1
2,80,1,69,1,71,2,80,1,78,2,77,2,76,2,84,2,78,86,1,84,2,90,2
2,21,2,17,1,21,1,5,1,12,2,6,2,10,2,16,1,5,20,1,16,1,15,2
1,100,2,100,2,100,2,100,2,100,2,100,1,100,2,100,2,100,100,1,100,2,100,2
1,56,2,28,1,70,2,63,1,67,2,63,1,75,1,76,2,41,71,1,78,2,66,2
1,100,2,80,1,37,2,91,1,75,1,100,1,91,2,81,2,100,88,1,81,1,32,2
1,48,2,78,2,14,2,20,1,25,2,2,1,35,2,14,2,13,10,1,5,2,3,2
2,42,2,78,2,26,1,45,1,100,1,51,2,51,2,54,2,100,100,1,3,1,84,1
1,70,2,73,2,95,1,65,2,83,1,80,1,75,1,85,2,96,83,1,82,2,83,1
2,26,2,72,2,56,1,61,1,22,1,78,2,20,2,69,2,63,67,1,69,1,85,1
1,25,2,27,1,27,1,31,1,9,1,52,1,53,1,24,2,37,14,1,34,2,16,1
1,2,2,1,2,1,1,1,1,0,1,2,1,1,2,4,2,0,7,1,1,2,2,1
1,100,2,100,2,100,1,100,1,38,1,100,2,100,2,100,2,100,100,1,100,1,100,1
2,16,2,48,2,13,1,47,2,26,2,43,2,32,2,63,2,31,45,1,32,1,57,1
2,75,2,72,2,76,2,71,2,70,2,80,2,78,2,79,2,77,81,2,79,2,79,2
1,55,1,31,1,74,1,78,1,82,1,70,1,78,1,68,2,28,82,1,80,1,78,1
1,66,2,0,1,48,2,32,1,18,1,63,1,63,1,48,2,21,31,1,25,2,15,2
1,83,2,81,1,77,2,62,1,76,2,70,1,58,1,67,2,71,78,1,65,2,56,2
2,50,1,64,1,57,2,54,1,57,1,53,1,65,1,73,1,60,71,1,66,2,71,2
2,100,2,100,2,100,2,100,2,100,1,100,2,100,2,100,2,75,78,2,88,2,72,1
1,74,2,100,2,100,2,81,1,8,2,86,1,22,1,44,1,45,64,1,48,2,21,2
1,4,2,5,2,12,2,9,1,1,1,21,2,100,1,21,1,51,47,1,22,1,65,1
2,68,1,64,2,63,2,61,2,4,2,79,2,60,2,61,1,63,50,2,71,2,42,2
2,38,1,33,1,37,2,39,1,35,2,39,2,40,1,37,1,44,33,2,34,2,40,2
2,43,2,75,2,85,1,3,1,2,1,29,2,62,2,49,2,50,53,1,5,1,34,1
1,8,2,81,2,79,2,51,1,76,2,44,1,33,2,76,2,95,75,1,83,2,43,2
1,75,1,45,1,68,1,98,1,83,2,86,2,67,1,58,1,99,70,1,100,2,51,2
2,70,2,72,2,82,2,83,2,73,2,76,2,15,2,55,2,78,24,1,23,2,24,2
2,72,1,75,1,78,1,77,1,66,1,81,2,59,1,53,1,41,43,1,48,2,48,1
2,4,1,18,1,6,2,18,1,2,2,27,2,4,1,8,1,7,4,1,6,2,8,2
1,22,1,11,1,15,1,12,1,25,1,26,1,15,2,21,2,17,22,1,13,1,21,1
1,59,2,78,2,54,2,52,1,60,1,85,1,26,2,50,2,65,40,1,55,1,50,1
1,14,2,18,2,15,2,10,2,8,2,18,1,10,2,4,2,9,7,2,9,1,10,1
1,97,2,100,2,100,1,100,1,100,1,99,1,100,2,100,2,100,100,1,100,1,100,1
2,48,2,91,2,45,2,78,2,4,2,100,2,100,2,76,2,90,39,1,60,2,71,2
1,69,2,75,1,87,2,49,1,56,2,46,1,46,1,48,2,74,25,1,48,2,19,2
2,2,2,93,2,98,1,5,1,3,1,3,2,35,2,50,2,50,3,1,1,1,2,1
2,93,1,55,2,46,2,66,2,62,2,81,2,72,2,66,1,70,62,2,55,2,24,2
1,100,2,100,2,100,1,80,2,13,1,83,1,38,2,100,2,100,36,1,13,1,37,1
1,26,2,48,2,46,2,42,1,58,1,42,1,80,1,34,2,72,37,1,37,2,53,2
1,54,2,98,2,67,2,45,1,49,1,25,1,67,2,94,2,100,66,1,54,2,71,1
1,29,2,49,2,44,1,56,1,12,1,56,1,22,2,12,2,43,48,1,52,1,53,1
1,10,2,17,2,24,2,9,1,42,1,20,1,35,1,20,1,22,64,1,51,2,41,2
2,9,1,79,1,60,2,80,1,89,2,68,1,54,1,33,1,30,98,1,67,2,89,2
1,51,2,60,1,80,2,71,2,74,2,84,1,74,1,79,2,58,54,2,77,2,71,2
2,89,2,86,2,89,2,100,1,98,2,95,2,93,2,94,2,95,98,1,95,2,95,2
1,48,1,36,1,30,2,61,1,53,2,71,1,82,1,60,2,59,70,1,67,2,50,2
2,30,2,23,2,13,1,24,2,56,1,32,2,46,2,22,2,32,12,2,69,1,20,1
1,10,2,13,1,14,2,37,1,49,2,47,1,71,1,38,1,36,68,1,64,2,58,2
2,53,1,52,1,52,2,57,1,56,2,63,1,62,1,59,2,54,59,2,56,2,56,2
2,72,2,94,1,65,2,84,1,76,2,74,2,79,1,78,2,85,80,1,36,1,13,1
2,95,2,91,2,91,2,82,2,90,2,92,2,90,2,86,2,88,86,2,84,2,84,2
2,11,1,10,1,16,2,12,2,7,2,28,2,11,1,11,2,1,10,2,16,2,9,2
1,7,2,7,2,7,2,12,1,7,2,17,1,8,2,11,2,12,10,1,12,1,10,2
2,29,1,28,2,29,1,5,1,1,1,5,2,2,2,5,2,4,4,1,2,1,2,1
2,97,2,100,2,87,2,57,1,3,2,76,1,84,1,81,2,79,52,2,1,2,83,2
2,10,2,5,2,15,2,20,2,5,2,15,1,4,1,7,1,2,6,2,2,2,2,2
2,100,2,100,2,100,2,100,1,100,2,100,2,100,2,100,2,100,100,2,100,2,100,2
1,17,2,12,2,22,2,12,2,2,2,7,1,9,1,8,2,10,12,2,11,2,9,2
2,64,2,57,2,54,2,61,2,32,2,64,1,61,2,61,2,61,57,2,59,2,58,2
2,53,1,6,2,77,2,31,2,12,1,68,2,97,1,62,1,100,54,1,9,1,51,1
2,46,1,41,2,42,1,41,1,53,1,39,2,19,2,57,2,76,96,1,69,1,100,1
1,11,1,7,1,12,2,21,1,0,2,14,1,1,1,1,1,1,11,1,1,2,15,2
1,47,2,48,1,45,2,48,1,46,1,47,1,48,1,48,2,48,48,1,47,1,51,2
2,4,1,0,2,1,2,7,2,3,2,6,2,9,1,3,2,4,4,2,7,2,6,1
2,74,2,73,1,59,2,86,1,79,2,67,2,80,1,69,2,51,90,1,75,2,73,2
2,47,1,85,1,36,2,100,2,76,2,99,2,100,1,100,1,82,0,2,100,2,98,1
2,60,2,52,2,57,1,45,2,46,1,29,1,63,1,66,1,47,48,1,57,2,58,1
1,3,2,45,2,75,2,77,2,17,2,85,1,71,2,61,2,61,93,1,93,2,98,2
2,81,2,88,2,82,2,77,1,71,1,81,2,77,2,75,2,80,81,2,78,2,75,2
1,86,1,73,1,87,2,97,2,76,2,89,1,82,1,77,1,91,83,1,83,2,83,2
1,37,2,69,2,79,2,51,2,65,2,64,1,74,2,47,2,59,48,1,64,1,33,2
2,59,1,46,2,62,1,65,1,48,2,65,2,45,1,56,1,54,19,1,55,1,63,2
1,84,1,74,1,64,2,83,2,56,2,98,1,82,1,76,1,79,50,2,69,2,57,2
2,1,2,56,2,38,2,15,1,46,2,49,1,25,2,33,2,54,37,2,1,2,45,2
1,8,1,8,1,22,2,25,1,5,2,36,2,23,1,14,1,18,30,1,33,2,38,2
2,13,1,7,1,4,2,8,1,13,2,2,1,7,1,9,1,10,6,1,8,2,8,2
1,54,2,52,1,39,2,52,1,16,2,50,1,55,1,24,2,46,61,1,19,2,42,2
1,66,2,100,2,100,2,32,2,0,2,24,2,12,2,88,2,79,40,1,29,2,10,2
